To fix this add the `okta.oauth2.issuer` property to your application environments.
[2022-09-21 11:17:45.045] [INFO ] org.springframework.boot.StartupInfoLogger [StartupInfoLogger.java:61]  - trace_id=, span_id=, service_identifier=demo-user, Started UserMainApplication in 6.563 seconds (JVM running for 6.995)
[2022-09-21 11:18:25.025] [INFO ] org.springframework.orm.jpa.AbstractEntityManagerFactoryBean [AbstractEntityManagerFactoryBean.java:651]  - trace_id=, span_id=, service_identifier=demo-user, Closing JPA EntityManagerFactory for persistence unit 'default'
[2022-09-21 11:18:25.025] [INFO ] com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:350]  - trace_id=, span_id=, service_identifier=demo-user, HikariPool-1 - Shutdown initiated...
[2022-09-21 11:18:25.025] [INFO ] com.zaxxer.hikari.HikariDataSource [HikariDataSource.java:352]  - trace_id=, span_id=, service_identifier=demo-user, HikariPool-1 - Shutdown completed.
[2022-09-21 11:18:31.031] [INFO ] org.springframework.boot.StartupInfoLogger [StartupInfoLogger.java:55]  - trace_id=, span_id=, service_identifier=demo-user, Starting UserMainApplication using Java 1.8.0_342 on tasneem-Precision-5520 with PID 20363 (/home/tasneem/Downloads/CsvPoc-20220921T043412Z-001/CsvPoc/target/classes started by tasneem in /home/tasneem/Downloads/CsvPoc-20220921T043412Z-001/CsvPoc)
[2022-09-21 11:18:31.031] [INFO ] org.springframework.boot.SpringApplication [SpringApplication.java:635]  - trace_id=, span_id=, service_identifier=demo-user, No active profile set, falling back to default profiles: default
[2022-09-21 11:18:31.031] [INFO ] org.springframework.boot.logging.DeferredLog [DeferredLog.java:255]  - trace_id=, span_id=, service_identifier=demo-user, The Class-Path manifest attribute in /home/tasneem/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0.1/jaxb-core-2.3.0.1.jar referenced one or more files that do not exist: file:/home/tasneem/.m2/repository/com/sun/xml/bind/jaxb-core/2.3.0.1/jaxb-api.jar
[2022-09-21 11:18:31.031] [INFO ] org.springframework.boot.logging.DeferredLog [DeferredLog.java:255]  - trace_id=, span_id=, service_identifier=demo-user, The Class-Path manifest attribute in /home/tasneem/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0.1/jaxb-impl-2.3.0.1.jar referenced one or more files that do not exist: file:/home/tasneem/.m2/repository/com/sun/xml/bind/jaxb-impl/2.3.0.1/jaxb-core.jar
[2022-09-21 11:18:31.031] [INFO ] org.springframework.boot.logging.DeferredLog [DeferredLog.java:255]  - trace_id=, span_id=, service_identifier=demo-user, Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
